lake_id,NAME,COUNTRY,MAX DISTANCE TO LAND (KM),LAT CENTRE,LON CENTRE,N PIXELS LSWT_mean,N PIXELS LSWT_std,N PIXELS CLIM_mean,N PIXELS CLIM_std,LSWT_spatial_mean,LSWT_spatial_std,PIXELS_PERCENTAGE_mean,PIXELS_PERCENTAGE_std,max_N_no_obs_consecutive_days,N_no_obs_consecutive_days_mean,N_no_obs_consecutive_days_std,longest_duration_days,Freq_Rank,N_obs_days_mean,N_obs_days_std,selection,Insitu-only flag,LIC-only flag,LSWT-only flag,UOR_selection_flag,UOR_LIC_with_insitu_flag,lake_cluster_flag,Form ice flag
513, lago Canacari,Brazil,5.1,-2.9181,-58.2069,85.1,104.12860638012336,413.3430894308943,26.787272979853707,0.2395,0.12787602503119094,16.524271844660195,20.219146869926863,2658,762.8181818181819,946.3981305389415,,,0.43478260869565216,1.1994728750020203,1,0,0,1,1,0,,0
523, Utah lake,United States,6.1,40.2042,-111.8014,242.9844396297026,158.30698285817022,554.2677657760091,4.7716357534049285,0.5516836714595234,0.2587263136093687,43.00609550968187,28.018935019145147,75,2.5608628659476116,5.822866289779619,,,220.7391304347826,31.29074418956441,1,0,1,0,0,0,,1
546, lake Pend Oreille,United States,4.4,48.1681,-116.3292,207.5377335598156,142.51292769023695,563.566163003663,5.360826942947984,0.4843550109196797,0.26377801678786617,34.41753458703409,23.633984691581514,28,2.7828348504551363,2.8022685914828815,,,179.17391304347825,22.51393946771047,1,0,1,0,0,0,,1
571, lake Francis Case and  lake Sharpe,United States,2.2,44.2014,-99.6764,96.07080610021787,90.84410338397174,780.2077602135085,46.29168246936744,0.7301644880174292,0.3783803433106274,9.568805388467915,9.048217468523081,65,2.477893368010403,3.792209210821922,,,199.56521739130434,24.035629021321515,1,0,1,0,0,0,,1
586, lake Malombe,Malawi,7.3,-14.6347,35.2542,229.9860465116279,107.06858853517858,378.13519122442926,1.9365952563021376,0.26056877076411966,0.11990246793389853,60.52264381884945,28.175944351362798,187,8.14167650531287,21.802835480040926,,,65.43478260869566,26.898506357580054,1,0,0,1,1,0,,0
604, Shala lake,Ethiopia,6.9,7.4625,38.5458,158.12746858168762,96.21245157379356,365.0618790803293,6.344870771802355,0.35504667863554756,0.18007942419222983,42.507384027335384,25.86356225101982,187,6.770623742454728,15.09805983155928,,,72.65217391304348,27.57404691446482,1,0,0,0,0,0,N2,0
648, lago Rogaguado,Bolivia Plurinational State of,6.5,-13.0069,-65.9458,163.58199753390875,117.63674625971615,376.6081504702194,4.043291143179317,0.41430949445129467,0.24240779669267748,43.16147692187566,31.038719329740392,276,15.39553752535497,45.22537365547121,,,35.26086956521739,10.17669972983896,1,0,0,0,0,0,N3,0
674, lake Kisale,Congo The Democratic Republic of the,6.3,-8.2486,26.5125,202.64566929133858,103.64917549331291,381.65400526513724,10.351273623558045,0.2429785254115963,0.10612723264958172,48.830281756949056,24.975704938147693,253,12.159722222222221,40.15286125034561,,,60.73913043478261,21.011290019901093,1,0,0,0,0,0,N5,0
679, Vortsjarv,Estonia,6.2,58.3042,26.0347,240.48613998614,176.14132791262057,576.4587835751776,15.837698355288573,0.4390720720720721,0.24493515076317493,40.89900339900339,29.95600814840481,153,4.443996776792909,12.347975062145386,20057.0,2.0,125.47826086956522,22.84904924462721,1,1,1,0,1,1,,1
688, Song-Kul,Kyrgyzstan,7.2,41.8458,75.1264,197.98951285520974,131.23476680582078,447.2759295499022,24.470607355346996,0.442797699594046,0.2420872820354301,43.80298956973667,29.034240443765697,196,7.1644736842105265,29.83988942738866,,,128.52173913043478,22.677320599339275,1,0,1,0,0,0,,1
